Year, Commodity Code, Crop Name, County Code, County, Harvested Acres, Yield (Unit/Acre), Production, Price (Dollars/Unit), Unit, Value (Dollars)
2020,268099,ALMOND HULLS ,7,Butte ,  ,  ,46300,64.95,Tons ,3007000
2020,268099,ALMOND HULLS ,11,Colusa ,  ,  ,68600,89.5,Tons ,6140000
2020,268099,ALMOND HULLS ,19,Fresno ,  ,  ,563000,93,Tons ,52359000
2020,268099,ALMOND HULLS ,21,Glenn ,  ,  ,81100,114.07,Tons ,9251000
2020,268099,ALMOND HULLS ,29,Kern ,  ,  ,393000,101.78,Tons ,40000000
2020,268099,ALMOND HULLS ,31,Kings ,  ,  ,80900,80.01,Tons ,6473000
2020,268099,ALMOND HULLS ,39,Madera ,  ,  ,372000,75.07,Tons ,27926000
2020,268099,ALMOND HULLS ,47,Merced ,  ,  ,228000,88.63,Tons ,20208000
2020,268099,ALMOND HULLS ,77,San Joaquin ,  ,  ,365000,100.08,Tons ,36528000
2020,268099,ALMOND HULLS ,99,Stanislaus ,  ,  ,579000,80.2,Tons ,46436000
2020,268099,ALMOND HULLS ,107,Tulare ,  ,  ,179000,76,Tons ,13604000
2020,268099,ALMOND HULLS ,113,Yolo ,  ,  ,44500,100.04,Tons ,4452000
2020,268099,ALMOND HULLS ,115,Yuba ,  ,  ,2170,64.98,Tons ,141000
2020,268099,ALMOND HULLS ,999, State Totals,0,  ,3002570,88.77,Tons ,266525000
2020,261999,ALMONDS ALL ,7,Butte ,37600,1.12,42100,3501.5,Tons ,147413000
2020,261999,ALMONDS ALL ,9,Calaveras ,180,0.12,21,1980.95,Tons ,41600
2020,261999,ALMONDS ALL ,11,Colusa ,68600,1.15,78900,3899.73,Tons ,307689000
2020,261999,ALMONDS ALL ,19,Fresno ,275000,1.24,341000,3512,Tons ,1197592000
2020,261999,ALMONDS ALL ,21,Glenn ,61200,1.06,64900,3242.93,Tons ,210466000
2020,261999,ALMONDS ALL ,29,Kern ,229000,1.24,283000,3894.92,Tons ,1102261000
2020,261999,ALMONDS ALL ,31,Kings ,33400,1.21,40500,3506.02,Tons ,141994000
2020,261999,ALMONDS ALL ,39,Madera ,157000,1.21,190000,3481.45,Tons ,661476000
2020,261999,ALMONDS ALL ,47,Merced ,103000,1.25,129000,3648.09,Tons ,470603000
2020,261999,ALMONDS ALL ,61,Placer ,3410,0.54,1840,3298.37,Tons ,6069000
2020,261999,ALMONDS ALL ,67,Sacramento ,1970,0.7,1380,3404.35,Tons ,4698000
2020,261999,ALMONDS ALL ,77,San Joaquin ,104000,1.76,183000,3792.52,Tons ,694031000
2020,261999,ALMONDS ALL ,95,Solano ,18300,0.77,14100,3595.74,Tons ,50700000
2020,261999,ALMONDS ALL ,99,Stanislaus ,272000,1.06,289000,3720,Tons ,1075080000
2020,261999,ALMONDS ALL ,101,Sutter ,14400,0.92,13200,3014.32,Tons ,39789000
2020,261999,ALMONDS ALL ,103,Tehama ,15800,0.94,14800,3493.18,Tons ,51699000
2020,261999,ALMONDS ALL ,107,Tulare ,89000,1.1,97900,3460,Tons ,338734000
2020,261999,ALMONDS ALL ,113,Yolo ,37100,1.06,39300,2500,Tons ,98250000
2020,261999,ALMONDS ALL ,115,Yuba ,1830,0.95,1740,3417.82,Tons ,5947000
2020,261999,ALMONDS ALL ,999, State Totals,1522790,1.2,1825681,3617.57,Tons ,6604532600
2020,473999,ANIMAL FIBERS MISC,103,Tehama ,  ,  ,  ,  ,  ,42000
2020,473999,ANIMAL FIBERS MISC,991,Sum of Others ,  ,  ,  ,  ,  ,6690
2020,473999,ANIMAL FIBERS MISC,999, State Totals,,  ,,  ,    ,48690
2020,333999,ANISE (FENNEL) ,53,Monterey ,484,19.21,9300,903.01,Tons ,8398000
2020,333999,ANISE (FENNEL) ,999, State Totals,484,19.21,9300,903.01,Tons ,8398000
2020,483999,APIARY PRODUCTS BEES PACKAGED ,11,Colusa ,  ,  ,3000,115,Lbs ,345000
2020,483999,APIARY PRODUCTS BEES PACKAGED ,21,Glenn ,  ,  ,121000,38.01,Lbs ,4599000
2020,483999,APIARY PRODUCTS BEES PACKAGED ,47,Merced ,  ,  ,34500,24.75,Lbs ,854000
2020,483999,APIARY PRODUCTS BEES PACKAGED ,999, State Totals,,  ,158500,36.58,Lbs ,5798000
2020,485999,APIARY PRODUCTS BEES QUEEN ,11,Colusa ,  ,  ,40000,30,Each ,1200000
2020,485999,APIARY PRODUCTS BEES QUEEN ,21,Glenn ,  ,  ,379000,23,Each ,8718000
2020,485999,APIARY PRODUCTS BEES QUEEN ,47,Merced ,  ,  ,16700,21.38,Each ,357000
2020,485999,APIARY PRODUCTS BEES QUEEN ,89,Shasta ,  ,  ,232000,26.9,Each ,6240000
2020,485999,APIARY PRODUCTS BEES QUEEN ,999, State Totals,,  ,667700,24.73,Each ,16515000
2020,489999,APIARY PRODUCTS UNSPECIFIED ,7,Butte ,  ,  ,  ,  ,  ,3364000
2020,489999,APIARY PRODUCTS UNSPECIFIED ,9,Calaveras ,  ,  ,  ,  ,  ,65200
2020,489999,APIARY PRODUCTS UNSPECIFIED ,13,Contra Costa ,  ,  ,  ,  ,  ,1232000
2020,489999,APIARY PRODUCTS UNSPECIFIED ,17,El Dorado ,  ,  ,  ,  ,  ,1249000
2020,489999,APIARY PRODUCTS UNSPECIFIED ,27,Inyo ,  ,  ,  ,  ,  ,5200
2020,489999,APIARY PRODUCTS UNSPECIFIED ,29,Kern ,  ,  ,  ,  ,  ,100000
2020,489999,APIARY PRODUCTS UNSPECIFIED ,43,Mariposa ,  ,  ,  ,  ,  ,64400
2020,489999,APIARY PRODUCTS UNSPECIFIED ,49,Modoc ,  ,  ,  ,  ,  ,25000
2020,489999,APIARY PRODUCTS UNSPECIFIED ,57,Nevada ,  ,  ,  ,  ,  ,371000
2020,489999,APIARY PRODUCTS UNSPECIFIED ,59,Orange ,  ,  ,  ,  ,  ,625000
2020,489999,APIARY PRODUCTS UNSPECIFIED ,61,Placer ,  ,  ,  ,  ,  ,223000
2020,489999,APIARY PRODUCTS UNSPECIFIED ,67,Sacramento ,  ,  ,  ,  ,  ,752000
2020,489999,APIARY PRODUCTS UNSPECIFIED ,71,San Bernardino ,  ,  ,  ,  ,  ,2336000
2020,489999,APIARY PRODUCTS UNSPECIFIED ,73,San Diego ,  ,  ,  ,  ,  ,517000
2020,489999,APIARY PRODUCTS UNSPECIFIED ,77,San Joaquin ,  ,  ,  ,  ,  ,802000
2020,489999,APIARY PRODUCTS UNSPECIFIED ,85,Santa Clara ,  ,  ,  ,  ,  ,420000
2020,489999,APIARY PRODUCTS UNSPECIFIED ,89,Shasta ,  ,  ,  ,  ,  ,2140000
2020,489999,APIARY PRODUCTS UNSPECIFIED ,95,Solano ,  ,  ,  ,  ,  ,732000
2020,489999,APIARY PRODUCTS UNSPECIFIED ,97,Sonoma ,  ,  ,  ,  ,  ,306000
2020,489999,APIARY PRODUCTS UNSPECIFIED ,103,Tehama ,  ,  ,  ,  ,  ,11639000
2020,489999,APIARY PRODUCTS UNSPECIFIED ,109,Tuolumne ,  ,  ,  ,  ,  ,52600
2020,489999,APIARY PRODUCTS UNSPECIFIED ,113,Yolo ,  ,  ,  ,  ,  ,16231000
2020,489999,APIARY PRODUCTS UNSPECIFIED ,991,Sum of Others ,  ,  ,  ,  ,,16236700
2020,489999,APIARY PRODUCTS UNSPECIFIED ,999, State Totals,,  ,,  ,    ,59488100
2020,482999,APIARY PRODUCTS BEESWAX ,19,Fresno ,  ,  ,457000,3.5,Lbs ,1600000
2020,482999,APIARY PRODUCTS BEESWAX ,29,Kern ,  ,  ,693000,5.05,Lbs ,3501000
2020,482999,APIARY PRODUCTS BEESWAX ,31,Kings ,  ,  ,5300,2.68,Lbs ,14200
2020,482999,APIARY PRODUCTS BEESWAX ,39,Madera ,  ,  ,29000,3.21,Lbs ,93000
2020,482999,APIARY PRODUCTS BEESWAX ,47,Merced ,  ,  ,30000,2.43,Lbs ,73000
2020,482999,APIARY PRODUCTS BEESWAX ,53,Monterey ,  ,  ,342,4.59,Lbs ,1570
2020,482999,APIARY PRODUCTS BEESWAX ,63,Plumas ,  ,  ,78,4.24,Lbs ,331
2020,482999,APIARY PRODUCTS BEESWAX ,65,Riverside ,  ,  ,11900,2.99,Lbs ,35600
2020,482999,APIARY PRODUCTS BEESWAX ,91,Sierra ,  ,  ,60,4.35,Lbs ,261
2020,482999,APIARY PRODUCTS BEESWAX ,99,Stanislaus ,  ,  ,405000,3,Lbs ,1214000
